,Name,Formula,AN,Donor numberDN,🏷 Tag,,
0,"1,1,1,3,3,3-hexafluoro-2-propanol",C3H2F6O,66.7,…,halo, alcohol,
1,"1,1-dichloroethane",C2H4Cl2,16.2,…,halo,,
2,"1,2,3-propanetriol",C3H8O3,45.4,19,alcohol,,
3,"1,2-diaminoethane",C2H8N2,20.9,55,amine,,
4,"1,2-dichlorobenzene",C6H4Cl2,9.5,3,aromatic, halo,
5,"1,2-dichloroethane",C2H4Cl2,16.7,0,halo,,
6,"1,2-dimethoxyethane",C4H10O2,10.2,20,ether,,
7,"1,3,2-dioxathiolan-2-oxide",C2H4O3S,…,15.3,,,
8,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",C10H18O,2.0,24,ether,,
9,"1,3,5-trimethylbenzene",C9H12,0.0,10,aromatic,,
10,"1,3-dichlorobenzene",C6H4Cl2,7.1,2,aromatic, halo,
11,"1,3-dimethyl-2-imidazolidinone",C5H10N2O,18.0,27.7,amide,,
12,"1,3-dimethylbenzene",C8H10,0.7,5,aromatic,,
13,"1,3-dimethyltetrahydropyrimidin-2(1H)-one",C6H12N2O,17.3,33,amide,,
14,"1,3-dimethylurea",C3H8N2O,…,29.7,,,
15,"1,3-dioxolan-2-one",C3H4O3,29.5,16.4,ester,,
16,"1,3-dioxolane",C3H6O2,19.2,21.2,,,
17,"1,4-dimethylbenzene",C8H10,0.3,5,aromatic,,
18,1-di(piperidin-1-yl)phosphorylpiperidine,C15H30N3OP,…,40.9,,,
19,1-methylazepan-2-one,C7H13NO,16.3,27.1,amide,,
20,1-methylpyrrolidin-2-thione,C5H9NS,17.7,…,,,
21,"2,2,2-trifluoro-N,N-dimethylacetamide",C4H6F3NO,…,16.6,amide, fluoro,
22,"2,2,2-trifluoroethanol",C2H3F3O,53.8,…,halo, alcohol,
23,"2,2,4,4-tetramethyl-3-pentanone",C9H18O,…,10.3,ketone,,
24,"2,2,4-trimethylpentan-3-one",C8H16O,…,11.3,ketone,,
0,"2,2,5,5-tetramethylhexan-3-one",C10H20O,…,11.8,ketone,,
1,"2,2,6,6-tetramethyl-4-heptanone",C11H22O,…,15,ketone,,
2,"2,2-dimethylpentan-3-one",C7H14O,…,14.6,ketone,,
3,"2,3-butanedione",C4H6O2,…,11,ketone,,
4,"2,4-dimethyl-3-pentanone",C7H14O,10.9,16.2,ketone,,
5,"2,6-dimethyl-4-heptanone",C9H18O,9.5,16.4,ketone,,
6,2-aminoethanol,C2H7NO,33.7,…,alcohol, amine,
7,2-butanone,C4H8O,15.8,17.4,ketone,,
8,2-chloroaniline,C6H6ClN,23.7,31,aromatic, halo, amine
9,2-chloroethanol,C2H5ClO,42.6,5,halo, alcohol,
10,2-methyl-1-propanol,C4H10O,29.5,37,alcohol,,
11,2-methyl-2-butanol,C5H12O,15.4,44,alcohol,,
12,2-methyl-2-propanamine,C4H11N,6.7,57,amine,,
13,2-methyl-2-propanol,C4H10O,27.1,38,alcohol,,
14,2-methylpentan-3-one,C6H12O,…,16.2,ketone,,
15,2-methylpropanenitrile,C4H7N,…,15.4,nitrile,,
16,2-methyltetrahydrofuran,C5H10O,6.7,12,ether,,
17,2-pentanone,⋮,15.4,17.5,ketone,,
18,2-phenylacetonitrile,C8H7N,18.4,15.1,aromatic, nitrile,
19,2-phenylethanol,C8H10O,33.8,23,aromatic, alcohol,
